watershed_group_code,total_km,total_potentially_accessible_km,total_accessible_km,spawning_km,spawning_accessible_km,rearing_km,rearing_accessible_km,total_pct_accessible,spawning_pct_accessible,rearing_pct_accessible
BULK,14642.10,6016.97,2586.76,1245.58,1043.01,2033.95,1326.69,17.67,83.74,65.23
HORS,4475.46,1063.37,576.05,167.66,138.18,555.75,456.80,12.87,82.42,82.20
LNIC,7299.99,2287.40,781.96,348.07,336.22,563.08,469.84,10.71,96.60,83.44
