blue_line_key,downstream_route_measure,barrier_name,watershed_group_code,reviewer,notes
356348366,1013,Local knowldedge - Stump Lake Creek Dam,LNIC,SN,Stream above this point excluded from WCRP planning due to invasive species concerns
356549622,42,Erickson Creek exclusion,ELKR,NMW,Stream does not exist due to mining impacts
