watershed_group_code,total_km,spawning_km,rearing_km,total_accessible_km,spawning_accessible_km,rearing_accessible_km,total_pct_accessible,spawning_pct_accessible,rearing_pct_accessible
BULK,14642.10,1747.29,2156.71,7198.14,1196.63,1613.47,49.16,68.48,74.81
LNIC,7299.99,440.85,590.98,2555.35,330.55,584.63,35.00,74.98,98.93
