watershed_group_code,total_km,total_potentially_accessible_km,total_accessible_km,spawning_km,spawning_accessible_km,rearing_km,rearing_accessible_km,total_pct_accessible,spawning_pct_accessible,rearing_pct_accessible
BULK,14642.10,7198.14,2382.52,1747.29,1045.38,2681.72,1329.10,16.27,59.83,49.56
LNIC,7299.99,2333.39,759.50,428.13,352.21,805.27,622.23,10.40,82.27,77.27
