watershed_group_code,total_km,total_potentially_accessible_km,total_accessible_km,spawning_km,spawning_accessible_km,rearing_km,rearing_accessible_km,total_pct_accessible,spawning_pct_accessible,rearing_pct_accessible
BULK,14642.10,6016.98,2833.41,1248.20,1099.83,2137.68,1499.29,19.35,88.11,70.14
HORS,4475.46,1039.59,648.57,159.07,153.49,526.95,493.86,14.49,96.49,93.72
LNIC,7299.99,2287.42,740.75,348.72,334.37,566.63,471.17,10.15,95.88,83.15
