watershed_group_code,watershed_group_name,include,co,ch,sk,st,wct,model,notes
CHWK,Chilliwack River,t,t,t,t,,,mad,
FRCN,Fraser Canyon,t,t,t,t,,,mad,
HARR,Harrison River,t,t,t,t,,,mad,
LFRA,Lower Fraser,t,t,t,t,,,mad,
LILL,Lillooet,t,t,t,t,,,mad,
