watershed_feature_id,map
9715126,965.80066445
9705372,555.24681471
9703189,642.93906542
9714571,1013.8690629
9705967,1069.972332
7645400,1126.0
9705692,968.36387782
9704722,969.0
7645429,1101.5555556
9717887,1141.2408854
8845997,1118.4903846
9701639,1098.2680412
9716773,1085.7253886
9707712,1122.6036036
9714003,973.90243902
9709486,1107.0
9703100,1134.1374613
9707560,1060.9098143
9959985,1021.2742268
9713294,1121.1657459
8227999,1126.5104895
9711390,830.16216216
9715963,886.3258427
9707047,978.86026201
9712746,884.5
9959124,1106.8074074
9708806,780.5
9958823,729.22169811
9716614,779.92941176
9715078,759.63098592
9706557,589.95348837
9712619,1140.4974619
9717963,795.0
9702886,
9709559,679.22659574
9707465,1059.2708861
9703158,1147.9588415
9740478,1082.2313527
9708185,1078.2508039
7649522,830.33333333
9703464,1004.2903226
9716510,955.21548822
9707982,993.82417582
9705160,994.23300971
9714185,1135.7150997
9706882,828.42105263
9960078,844.53846154
9708804,890.03225806
9703710,877.0990099
9707719,967.46866485
9715141,1052.6828283
9714833,1084.1185771
9715200,1097.6129032
9703437,1120.5306122
9709403,1114.0147059
9710102,1128.7402597
9706599,968.72319688
9707486,998.84952381
9707345,1048.7591973
9700720,985.49101796
9713893,1116.9142857
9706020,985.10727497
9708673,906.32054795
9708045,903.3875
9939863,824.45404664
9701754,951.01567398
9713905,922.41008403
9713070,882.669967
9709918,876.59340659
9707997,985.45238095
9701697,1117.6910569
9716666,1129.0248447
9708444,771.24090909
9704926,867.7689464
9939983,872.375
9701191,887.60958904
9713350,831.32518797
9707442,812.26732673
9709419,1051.331307
9712215,1088.2122905
9707518,1144.1824561
9704875,559.51724138
9714075,632.11420613
9717888,772.43733214
9709996,1159.1597542
9704911,774.3125
9706687,663.0
9711559,998.79388084
9715504,914.80289855
9716953,980.5
9717508,1116.0969163
9704945,549.11142857
9712727,741.0
9702926,1130.25
9702233,824.9047619
8228000,1150.6149514
9705224,1031.2434783
9711978,1112.3229572
9704636,716.46405229
9709386,751.16772152
9700494,
9711371,789.89772727
9958676,716.70346598
9702008,848.06626506
9701990,1116.8232576
9703864,1146.0
9708706,825.01357466
9705703,1113.8269231
9709071,1059.8251928
9703765,893.41505376
9701648,852.5779661
9706753,1134.5357143
9711396,1091.7972509
9713077,998.1519337
8247904,1143.5374376
9707532,877.16666667
9709412,1055.3571429
9748372,965.87046456
9743572,1082.2616438
9743200,892.50724638
9707472,1059.6666667
8239082,838.48031496
8247903,1064.5597393
9703550,988.93103448
9713668,1127.8182371
9711173,929.83451537
9705061,874.43661972
9717145,518.09432454
9712334,1042.4904215
9715362,1110.637931
9700353,911.8373102
9701374,754.87420495
9717638,1086.2384428
9711591,819.63768116
9701969,940.07486631
9959282,1076.0197368
9704132,728.625
9715361,1070.5460123
9746529,868.22622951
9713996,1153.3254438
9958882,1149.7929624
9708864,1147.625
9710410,1150.8636364
9706461,1062.6197183
9713694,1123.6504065
9959703,1152.802887
9712248,1135.7589286
9715881,1140.0982143
9712907,1146.7520661
9706802,1017.4164223
9744737,1136.0844327
9740018,972.25882353
9741400,1125.2038153
9711985,811.76691729
9714745,1091.2830189
9705576,935.76923077
9711511,1027.9375
9704900,973.12698413
9706628,1016.2013889
9717562,928.60294118
9702661,901.71028037
9700419,1167.2225914
9717317,734.86538462
9702703,1149.186551
9748844,1021.8725
9965197,1116.4958159
9749678,1131.6341808
9745794,875.18032787
7792314,544.82832618
9966024,579.71428571
9973472,591.79194631
9709454,535.48847926
9703539,544.25974026
9702577,559.84782609
9708728,560.72093023
9714230,563.87692308
9959318,653.11764706
9712550,573.72649573
9701822,608.71713147
9959362,556.80977543
9706427,547.90873016
9711138,532.78414097
8786541,557.93571429
9713210,561.21428571
9716695,596.75
9703643,582.05095541
9710948,576.26861925
7653795,579.54037267
9716751,562.30851064
9708961,
8029254,574.33333333
9702202,563.04142012
9708158,575.79538905
7645470,
9709357,597.46948357
9959365,628.43429487
9716781,652.46086957
8029429,583.18149146
7639271,556.58333333
9712597,605.91401152
9706264,535.11111111
9707279,577.64321608
7645469,573.0
9701466,582.0
9715783,543.02093398
8302550,556.38037383
9717046,526.6
8089184,554.58730159
7649524,535.0
9959485,585.18928571
9702272,563.73953488
7639236,490.90243902
7645772,536.46296296
9707893,525.9009901
9714900,549.74074074
8770391,541.21428571
8302549,539.42687386
9714446,532.48037677
9705757,556.86709887
7645631,534.53846154
8782331,541.5
7835274,503.07446809
8278787,536.83518519
9707023,544.15757576
7894265,540.21131137
9713346,535.61168385
8755496,588.66666667
9710058,586.75
7639237,487.61956522
9713100,587.0
9714866,567.35099338
9703611,552.53370787
9701417,526.2109375
7645499,559.77981651
7645637,568.0
9704546,593.92857143
9702707,549.97206704
9717622,550.55882353
9701187,597.68965517
7909310,552.8784474
9710080,563.65853659
7645635,568.0
9715116,589.45454545
9703302,603.71666667
9706898,601.71428571
9706201,638.49059982
9700910,560.97045455
9717153,564.80229885
9709151,586.34836066
9708735,562.69522472
8029306,563.73596177
7645433,555.6875
9714074,560.0
7645434,555.83783784
9700403,561.73366834
