misc_barriers_id,blue_line_key,downstream_route_measure,barrier_type,barrier_name,watershed_group_code,reviewer,notes
1,356348366,1012.8,LOCAL KNOWLEDGE,Stump Lake Creek Dam,LNIC,SN,
2,356341914,140,LOCAL KNOWLEDGE,Hamilton Creek,LNIC,SN,
