blue_line_key,downstream_route_measure,upstream_route_measure,species_code,habitat_type,habitat_ind,reviewer,watershed_group_code,source,notes
356354875,1157.581455,2438.754462,CO,rearing,f,SH,HORS,SH,Woodjam tributary
356286838,379.5559953,3803.639621,CO,rearing,f,SH,HORS,SH,Tisdall Lake inlet
356342331,290,10380.08722,CO,rearing,f,SH,HORS,SH,Sucker Cr - little to no flow for significant durations. Could remove all.
356284960,383.382961,1047.815825,CO,rearing,f,SH,HORS,SH,Very doubtful
356563941,0,1709,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,68938,70427,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,59716,61351,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,52440.76179,52897,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,51485,51794.59129,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,50014.6768,51342,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,42599,45233.60051,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,38277,40441.16592,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,36955,37961,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,33440,34651,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,31438,31823,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,28249,30209,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356568903,23246,27692,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
356558982,0,1195,WCT,spawning,t,NJO,ELKR,Upper Fording River Tek Assessement,
