watershed_group_code,watershed_group_name,include,co,ch,sk,st,wct,model,notes
MORK,Morkill River,,f,t,,,,,
MORR,Morice River,t,t,t,t,t,,cw,
MPRO,Middle Prophet River,,,,,,,,Mackenzie basin
MSKE,Middle Skeena River,,t,t,t,t,,,
MSTR,Middle Stikine River,,f,f,f,t,,,
MURR,Murray River,,,,,,,,Mackenzie basin
MURT,Murtle Lake,,,,,,,,
MUSK,Muskeg River,,,,,,,,
NAHR,Nahlin River,,,t,,,,,
BABR,Babine River,,t,t,t,t,,,
BARR,Barrington River,,,,t,f,,,
CHIL,Chilako River,,f,t,f,f,,,
CLAY,Clayoquot,,t,t,t,t,,,
CLRH,Columbia Reach,,,,,,t,,
COAL,Coal River,,,,,,,,Mackenzie basin
COLR,Columbia River,,,,,,t,,
COMX,Comox,,t,t,t,t,,,
COWN,Cowichan,,t,t,f,t,,,
DUNC,Duncan Lake,,,,,,t,,
ELKR,Elk River,t,,,,,t,mad,
FINL,Finlay River,,,,,,,,Mackenzie basin
FRCN,Fraser Canyon,,t,t,t,t,,,
NAKR,Nakina River,,t,t,t,f,,,
NARC,Narcosli Creek,,,t,f,f,,,
NASC,Nascall River,,t,,t,t,,,
NASR,Nass River,,t,t,t,t,,,
NATR,Nation River,,,,,,,,Mackenzie basin
NAZR,Nazko River,,f,t,f,f,,,
NBNK,North Banks Island,,t,f,t,f,,,
NECL,Necleetsconnay River,,t,,t,,,,
NECR,Nechako River,,t,t,t,f,,,
NEVI,Northeast Vancouver Island,,t,,t,t,,,
NICL,Nicola River,,t,t,f,f,,,
NIEL,Niel Creek,,t,t,t,t,,,
NIMP,Nimpkish River,,t,t,t,t,,,
OKAN,Okanagan River,,f,,t,,,,
OSPK,Ospika River,,,,,,,,Mackenzie basin
OWIK,Owikeno Lake,,t,t,t,t,,,
PARA,Parsnip Arm,,,,,,,,Mackenzie basin
PARK,Parksville,,t,t,,t,,,
PARS,Parsnip River,,,,,,,,Mackenzie basin
PCEA,Peace Arm,,,,,,,,Mackenzie basin
PINE,Pine River,,,,,,,,Mackenzie basin
PITR,Pitman River,,,,,,,,No target species observations
PORI,Porcher Island,,t,,f,t,,,
QUES,Quesnel River,,t,t,t,,,,
REVL,Revelstoke Lake,,,,,,t,,
SAHD,Sahdoanah Creek,,,,,,,,Mackenzie basin
SAHT,Sahtaneh River,,,,,,,,Mackenzie basin
SAJR,San Jose River,,t,f,t,f,,,
SALM,Salmon River,,t,t,,t,,,
SALR,Salmon River,,f,t,f,f,,,
SANJ,San Juan River,,t,t,t,t,,,
SETN,Seton Lake,,t,t,t,t,,,
SEYM,Seymour Inlet,,t,t,,t,,,
SHEK,Shekilie River,,,,,,,,Mackenzie basin
SHER,Sheslay River,,t,t,,t,,,
SHUL,Shuswap Lake,,t,t,t,,t,,
SIML,Similkameen River,,,,,,,,No target species observations
SKGT,Skagit River,,,,,,,,
SLOC,Slocan River,,,,,,t,,
SMAR,St. Mary River,,,,,,t,,
SMOK,Smoky River,,,,,,,,Mackenzie basin
SPAT,Spatsizi River,,,,,,,,No target species observations
SQAM,Squamish,,t,t,t,t,,,
STHM,South Thompson River,,t,t,t,,,,
STIR,Stikine River,,t,t,t,,,,
STUL,Stuart Lake,,f,t,t,f,,,
STUR,Stuart River,,f,t,t,f,,,
SUST,Sustut River,,t,t,t,t,,,
SWIR,Swift River,,f,t,f,f,,,
TABR,Tabor River,,f,t,f,f,,,
TAHR,Tahltan River,,,,t,t,,,
TAHS,Tahsis,,t,t,t,t,,,
TAKL,Takla Lake,,f,,t,f,,,
TASR,Taseko River,,,,t,,,,
TATR,Tatshenshini River,,,t,t,,,,
TAYR,Taylor River,,f,f,f,t,,,
TESR,Teslin River,,f,t,f,f,,,
THOM,Thompson River,,t,t,t,t,,,
TOAD,Toad River,,,,,,,,Mackenzie basin
TOBA,Toba Inlet,,t,t,t,t,,,
TOOD,Toodoggone River,,,,,,,,Mackenzie basin
TSAY,Tsaytis River,,t,t,,t,,,
TSEA,Tsea River,,,,,,,,Mackenzie basin
TSIT,Tsitika River,,t,t,,t,,,
TURN,Turnagain River,,,,,,,,Mackenzie basin
TUTR,Tutshi River,,f,f,f,,,,
TUYR,Tuya River,,,,,,,,Blockage near mouth of Tuya River
TWAC,Twan Creek,,,t,,,,,
UARL,Upper Arrow Lake,,,,,,t,,
UBIR,Upper Bell -Irving River,,t,t,,,,,
UBTN,Upper Beatton River,,,,,,,,Mackenzie basin
UCHR,Upper Chilcotin River,,f,t,f,t,,,
UDEN,Upper Dean River,,,,,,,,No target species observations
UEUT,Upper Eutsuk Lake,,,,,,,,
UFRA,Upper Fraser River,,f,t,,f,,,
UFRT,Upper Fort Nelson River,,,,,,,,Mackenzie basin
UHAF,Upper Halfway River,,,,,,,,Mackenzie basin
UISR,Upper Iskut River,,,,,,,,Forrest Kerr Generating Station
UJER,Upper Jennings River,,f,t,f,f,,,
UKEC,Upper Kechika River,,,,,,,,Mackenzie basin
ULRD,Upper Liard River,,,,,,,,Mackenzie basin
UMUS,Upper Muskwa River,,,,,,,,Mackenzie basin
UNAR,Upper Nass River,,,t,,t,,,
UNRS,Upper Nechako Reservoir,,,,,,,,
UNTH,Upper North Thompson River,,t,t,,f,,,
UNUR,Unuk River,,t,,,,,,
UOMI,Upper Omineca River,,,,,,,,Mackenzie basin
UPCE,Upper Peace River,,,,,,,,Mackenzie basin
UPET,Upper Petitot River,,,,,,,,Mackenzie basin
UPRO,Upper Prophet River,,,,,,,,Mackenzie basin
USHU,Upper Shuswap,,t,t,t,,t,,
USIK,Upper Sikanni Chief River,,,,,,,,Mackenzie basin
USKE,Upper Skeena River,,,t,t,t,,,
USTK,Upper Stikine River,,,,,t,,,
UTRE,Upper Trembleur Lake,,f,,t,f,,,
VICT,Victoria,,t,,f,t,,,
WILL,Willow River,,t,t,f,f,,,
WORC,Work Channel,,t,t,,t,,,
ZYMO,Zymoetz River,,t,t,,t,,,
