watershed_group_code,total_km,total_potentially_accessible_km,total_accessible_km,spawning_km,spawning_accessible_km,rearing_km,rearing_accessible_km,total_pct_accessible,spawning_pct_accessible,rearing_pct_accessible
BULK,14642.10,5875.79,2330.93,1232.83,994.80,2151.62,1489.26,15.92,80.69,69.22
HORS,4475.46,1076.66,580.35,258.92,224.50,585.42,491.72,12.97,86.71,83.99
LNIC,7299.99,2315.86,783.66,675.65,425.57,408.62,297.74,10.74,62.99,72.86
